36,5;26,5;5,3
39,25;22,25;4,9
37;22;4
36,75;21,75;4,5
39;24;4,2
39;24;4,4
39;24;4,8
39;24;4,8
38,5;21,75;5,1
38,11;23,7;4,6
37,5;21,75;4
38,4;22,3;4,1
38,4;22,2;3,8
38,5;23,25;3,3
38,5;22;3,6
38,5;22,25;3,4
37,5;21,5;3,9
35,25;25,25;4,1
38,5;24,5;3,2
39,3;21,9;3,6
39,25;22;3,7
37,3;21;3,8
39;24,25;3,5
35,4;26,5;4,4
37;22;3,6
38,4;21,7;3,4
39,3;23,9;3,7
39,1;23,9;3,7
